Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
fucci-wt-single-f8-r5-c7_S84_	brdu	228272	206884	4.2%	0.5%	8.0%	31	11.8%	42.0%	152	0.29	0.00%	0.36%	0
fucci-wt-single-f8-r6-c1_S85_	acceptable	291499	264844	4.4%	0.6%	3.6%	41	10.8%	47.0%	150	0.25	0.00%	0.53%	0
fucci-wt-single-f8-r6-c2_S86_	brdu	611767	559638	7.2%	1.3%	22.8%	74	27.6%	43.0%	152	0.22	0.00%	1.36%	0
fucci-wt-single-f8-r6-c3_S87_	poor	<5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
fucci-wt-single-f8-r6-c4_S88_	poor	116340	106938	2.6%	0.3%	37.3%	16	65.5%	44.0%	151	0.33	0.00%	0.24%	0
fucci-wt-single-f8-r6-c5_S89_	brdu	252637	229946	5.5%	0.5%	6.9%	34	11.1%	43.0%	152	NA	0.00%	0.47%	0.285229
fucci-wt-single-f8-r6-c6_S90_	poor	37764	34318	2.5%	0.1%	7.5%	5	25.0%	42.0%	151	>=2	0.00%	0.06%	0
fucci-wt-single-f8-r6-c7_S91_	brdu	327082	300670	7.1%	0.7%	23.3%	43	30.3%	42.0%	152	0.33	0.00%	1.01%	0
fucci-wt-single-f8-r7-c1_S92_	brdu	471588	429718	5.2%	1.0%	23.0%	60	21.2%	43.0%	152	0.22	0.00%	1.01%	0
fucci-wt-single-f8-r7-c2_S93_	brdu	302046	274966	4.8%	0.6%	11.9%	41	16.7%	43.0%	151	0.26	0.00%	0.65%	0
fucci-wt-single-f8-r7-c3_S94_	brdu	167787	152820	3.9%	0.4%	8.8%	23	12.5%	44.0%	155	0.37	0.00%	0.06%	0
fucci-wt-single-f8-r7-c4_S95_	good	509565	461598	7.2%	1.0%	2.8%	70	12.5%	42.0%	150	0.25	0.00%	0.71%	0
