Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
na12878-m1h3h5-1-30-bst-single-f6-r7-c1_S92_	p	679383	583784	7.10%	1.30%	7.50%	77	53.80%	50.00%	129	NA	0.00%	1.80%	0
na12878-m1h3h5-1-30-bst-single-f6-r7-c2_S93_	p	331443	289152	4.50%	0.70%	11.00%	37	41.70%	51.00%	129	NA	0.00%	0.70%	0
na12878-m1h3h5-1-30-bst-single-f6-r7-c3_S94_	p	352676	303864	4.70%	0.70%	18.40%	37	45.70%	51.00%	129	0.31	0.00%	0.70%	0
na12878-m1h3h5-1-30-bst-single-f6-r7-c4_S95_	p	544868	464392	6.70%	1.00%	12.00%	59	39.50%	50.00%	129	NA	0.00%	2.10%	0
na12878-m1h3h5-1-30-bst-single-f6-r7-c5_S96_	p	440215	372918	7.10%	0.80%	20.50%	43	49.00%	50.00%	129	NA	0.00%	1.30%	0
na12878-m1h3h5-1-30-bst-single-f6-r7-c6_S97_	p	390289	334744	6.70%	0.70%	20.40%	40	51.90%	50.00%	129	NA	0.00%	1.00%	0
na12878-m1h3h5-1-30-taq-nc-f10-r7-c7_S294_	e	NA	330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-30-taq-single-f10-r1-c1_S246_	p	1664997	1508502	24.10%	2.80%	7.40%	163	49.30%	49.00%	129	0.34	0.00%	4.40%	0
na12878-m1h3h5-1-30-taq-single-f10-r1-c2_S247_	a	2495014	2191932	29.90%	3.70%	5.30%	216	39.40%	50.00%	129	0.3	0.00%	3.00%	0
na12878-m1h3h5-1-30-taq-single-f10-r1-c3_S248_	p	63006	55658	3.00%	0.10%	9.90%	8	53.80%	50.00%	129	>=2	0.00%	0.20%	0
na12878-m1h3h5-1-30-taq-single-f10-r1-c4_S249_	a	2466889	2179248	28.20%	3.80%	6.20%	232	40.40%	49.00%	129	0.28	0.00%	4.30%	0
na12878-m1h3h5-1-30-taq-single-f10-r1-c5_S250_	p	931490	825492	13.30%	1.70%	20.80%	103	49.00%	49.00%	129	0.29	0.00%	1.40%	0
na12878-m1h3h5-1-30-taq-single-f10-r1-c6_S251_	b	2451340	2244378	30.40%	3.80%	10.10%	221	46.00%	50.00%	129	0.31	0.00%	4.50%	0
na12878-m1h3h5-1-30-taq-single-f10-r1-c7_S252_	p	28239	25840	2.10%	0.10%	10.10%	3	43.50%	48.00%	129	NA	0.00%	0.20%	0
na12878-m1h3h5-1-30-taq-single-f10-r2-c1_S253_	b	806027	717160	11.80%	1.50%	25.30%	85	59.00%	49.00%	129	0.3	0.00%	2.00%	0
na12878-m1h3h5-1-30-taq-single-f10-r2-c2_S254_	p	314278	279828	4.30%	0.60%	23.70%	36	58.60%	50.00%	129	0.26	0.00%	0.80%	0
na12878-m1h3h5-1-30-taq-single-f10-r2-c3_S255_	p	1154071	1021326	17.40%	2.00%	11.70%	112	47.60%	50.00%	129	0.35	0.00%	3.30%	0
na12878-m1h3h5-1-30-taq-single-f10-r2-c4_S256_	b	780245	703712	8.80%	1.60%	26.40%	83	54.20%	49.00%	129	0.25	0.00%	1.40%	0
na12878-m1h3h5-1-30-taq-single-f10-r2-c5_S257_	b	1320179	1170146	16.90%	2.30%	23.80%	125	53.50%	50.00%	129	NA	0.00%	2.10%	0
na12878-m1h3h5-1-30-taq-single-f10-r2-c6_S258_	p	2776484	2447324	27.00%	4.30%	11.50%	254	44.00%	49.00%	129	NA	0.00%	4.50%	0
na12878-m1h3h5-1-30-taq-single-f10-r2-c7_S259_	p	161341	142474	6.40%	0.30%	7.20%	19	42.90%	50.00%	129	>=2	0.00%	0.40%	0
