Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm-recq5-1-single-c7-w42-3d6_S240_	shallow	74796	65952	10.70%	0.10%	2.30%	9	3.80%	50.00%	151	>=2	0.00%	0.20%	0
blm-recq5-1-single-c7-w43-3d6_S241_	poor	3151	2868	4.50%	0.00%	5.30%	0	8.70%	47.00%	159	NA	0.00%	0.00%	0
blm-recq5-1-single-c7-w4-3d6_S202_	shallow	31570	28408	7.00%	0.10%	3.50%	4	0.00%	47.00%	156	NA	0.00%	0.10%	0
blm-recq5-1-single-c7-w44-3d6_S242_	poor	18243	16370	6.70%	0.00%	2.70%	2	20.00%	48.00%	152	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w45-3d6_S243_	poor	32804	29212	6.80%	0.10%	2.50%	4	12.00%	48.00%	149	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w47-3d6_S245_	shallow	72189	63706	8.50%	0.10%	4.00%	9	11.50%	50.00%	151	>=2	0.00%	0.30%	0
blm-recq5-1-single-c7-w48-3d6_S246_	shallow	161657	145942	8.80%	0.30%	1.60%	22	0.00%	48.00%	152	NA	0.00%	0.40%	0
blm-recq5-1-single-c7-w49-3d6_S247_	shallow	53803	48122	10.00%	0.10%	1.30%	7	18.50%	49.00%	152	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w5-3d6_S203_	shallow	47282	42180	6.80%	0.10%	2.80%	6	14.30%	50.00%	151	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w6-3d6_S204_	shallow	45798	41202	8.00%	0.10%	2.70%	6	10.70%	48.00%	153	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w7-3d6_S205_	poor	85620	77256	9.60%	0.20%	25.70%	10	26.30%	50.00%	150	>=2	0.00%	0.10%	0
blm-recq5-1-single-c7-w9-3d6_S207_	shallow	67410	60030	8.30%	0.10%	2.30%	8	13.30%	50.00%	154	>=2	0.00%	0.20%	0
blm-recq5-2-negctrl-c4-w25-3d6_S88_	poor	NA	NA	NA	NA	NA	NA	NA	NA	NA	>=2	NA	NA	NA
blm-recq5-2-single-c12-w10-3d6_S453_	poor	333534	302696	9.00%	0.70%	11.20%	41	26.30%	49.00%	147	0.49	0.00%	0.50%	0
blm-recq5-2-single-c12-w11-3d6_S454_	poor	298096	270486	11.10%	0.60%	18.90%	31	37.50%	50.00%	148	0.99	0.00%	0.40%	0
blm-recq5-2-single-c12-w13-3d6_S456_	poor	39243	33478	9.20%	0.10%	2.60%	5	4.20%	51.00%	147	>=2	0.00%	0.20%	0
blm-recq5-2-single-c12-w1-3d6_S444_	poor	34244	30686	6.90%	0.10%	12.30%	4	30.00%	51.00%	149	>=2	0.00%	0.00%	0
blm-recq5-2-single-c12-w14-3d6_S457_	poor	93360	83296	10.10%	0.20%	13.90%	11	17.90%	48.00%	151	>=2	0.00%	0.00%	0
blm-recq5-2-single-c12-w15-3d6_S458_	poor	59518	51296	10.30%	0.10%	2.20%	7	8.30%	50.00%	147	>=2	0.00%	0.20%	0
blm-recq5-2-single-c12-w19-3d6_S462_	shallow	87996	77638	10.90%	0.20%	2.00%	10	8.00%	50.00%	148	NA	0.00%	0.20%	0
blm-recq5-2-single-c12-w20-3d6_S463_	poor	73093	65914	10.20%	0.10%	17.60%	8	14.30%	49.00%	155	>=2	0.00%	0.00%	0
blm-recq5-2-single-c12-w2-3d6_S445_	poor	37208	33626	7.90%	0.10%	7.60%	5	18.50%	45.00%	158	NA	0.00%	0.00%	0
blm-recq5-2-single-c12-w24-3d6_S467_	good	192881	172404	10.50%	0.40%	1.70%	24	6.90%	49.00%	148	NA	0.00%	0.20%	0
blm-recq5-2-single-c12-w34-3d6_S477_	poor	78459	68164	11.30%	0.10%	3.50%	9	6.90%	49.00%	146	NA	0.00%	0.30%	0
blm-recq5-2-single-c12-w35-3d6_S478_	poor	405443	367712	10.50%	0.80%	19.80%	45	28.60%	48.00%	148	0.38	0.00%	0.70%	0
blm-recq5-2-single-c12-w39-3d6_S482_	good	308006	279230	9.90%	0.60%	1.40%	41	10.00%	40.00%	149	0.48	0.00%	0.20%	0
blm-recq5-2-single-c12-w41-3d6_S484_	shallow	70936	62412	9.80%	0.10%	6.70%	8	17.20%	49.00%	148	NA	0.00%	0.10%	0
blm-recq5-2-single-c12-w43-3d6_S486_	poor	231385	208520	6.80%	0.50%	21.00%	28	30.40%	47.00%	148	0.57	0.00%	0.50%	0
blm-recq5-2-single-c12-w4-3d6_S447_	poor	60489	53976	7.10%	0.10%	1.70%	8	14.30%	48.00%	148	>=2	0.00%	0.10%	1.21942
blm-recq5-2-single-c12-w44-3d6_S487_	poor	99385	87858	7.20%	0.20%	1.90%	13	4.30%	48.00%	148	>=2	0.00%	0.20%	0
blm-recq5-2-single-c12-w47-3d6_S490_	poor	59033	52860	7.00%	0.10%	2.00%	7	4.00%	48.00%	148	NA	0.00%	0.20%	0
blm-recq5-2-single-c12-w5-3d6_S448_	poor	77367	70290	6.60%	0.20%	25.00%	9	34.50%	49.00%	151	>=2	0.00%	0.40%	0
blm-recq5-2-single-c12-w7-3d6_S450_	poor	1071341	977274	10.70%	2.10%	19.10%	131	55.40%	49.00%	149	0.22	0.00%	2.50%	0
blm-recq5-2-single-c4-w11-3d6_S81_	poor	115617	104802	4.70%	0.20%	2.40%	15	3.60%	50.00%	148	NA	0.00%	0.40%	0
blm-recq5-2-single-c4-w13-3d6_S82_	shallow	56327	50454	4.20%	0.10%	1.90%	7	16.00%	50.00%	148	>=2	0.00%	0.10%	0
blm-recq5-2-single-c4-w1-3d6_S76_	shallow	71559	64954	3.80%	0.20%	5.30%	10	13.80%	49.00%	147	NA	0.00%	0.10%	0
blm-recq5-2-single-c4-w15-3d6_S83_	shallow	55510	49682	3.80%	0.10%	2.10%	7	17.90%	49.00%	149	1.06	0.00%	0.00%	0
