Library	Reads	Sequencing_for_0.05x_cov	Background	Reads_per_Mb	Quality	Mode_insert_size	Mode_GC	Percent_WC	Naive_coverage	Duplication_rate	complexity	coverage	spikiness	entropy
fucci-wt-single-f12-r1-c4_S151_.trimmed.mdup.bam	1535914	2	1.2	218	good	155	42	18.4	3.2	13.8	10621112.4099392	0.0376601192047279	0.119778206555425	7.92748678737134
fucci-wt-single-f12-r1-c6_S153_.trimmed.mdup.bam	1765684	0.2	12.6	229	brdu	152	42	25.5	3.6	15.4	10863691.6094917	0.0432887276765235	0.189694508867989	7.90613463726702
fucci-wt-single-f12-r1-c7_S154_.trimmed.mdup.bam	1250774	0.24	0.7	168	brdu	164	40	40.7	2.5	17.1	6801259.72059365	0.0306690775082683	0.181671912572579	7.90929892275145
fucci-wt-single-f12-r2-c1_S155_.trimmed.mdup.bam	794200	0.28	1.6	113	good	157	41	14.9	1.7	13.7	5580102.73105751	0.019475693051177	0.148677209902238	7.92598260674209
fucci-wt-single-f12-r2-c3_S157_.trimmed.mdup.bam	1121830	0.23	1.2	159	good	156	39	19.2	2.3	14.6	7286476.85587525	0.0275102804495366	0.124984275015306	7.92728855664033
fucci-wt-single-f12-r2-c4_S158_.trimmed.mdup.bam	618732	2	1.5	97	brdu	161	41	18.6	1.3	13.9	4302234.8998452	0.0151717781047859	0.269145681514788	7.82893478404077
fucci-wt-single-f12-r2-c5_S159_.trimmed.mdup.bam	1072402	2	6.6	149	brdu	159	40	36.8	2.3	12.5	8367392.99964137	0.0262949249051853	0.176548663032471	7.8987639519289
fucci-wt-single-f12-r2-c6_S160_.trimmed.mdup.bam	1516118	0.24	17.7	185	brdu	152	40	36.2	3	19.5	6945423.68953825	0.0371792412008228	0.20129374382685	7.87171485265734
fucci-wt-single-f12-r2-c7_S161_.trimmed.mdup.bam	922316	2	2	132	good	153	40	17.3	2	13.3	6666184.18601751	0.0226131251872841	0.136091521862607	7.92789878136957
fucci-wt-single-f12-r3-c1_S162_.trimmed.mdup.bam	199130	2	1.7	31	poor	156	41	3.1	0.5	5.2	3989875.54824253	0.00488316530329468	0.23243415802075	7.92168333669249
fucci-wt-single-f12-r3-c2_S163_.trimmed.mdup.bam	497180	0.27	5.1	73	brdu	153	39	31.5	1.1	8.6	5839879.03392886	0.012190909168207	0.190157104187676	7.91904364019818
